,Topic:
0,"0.017*""kulonprogo"" + 0.015*""humas_polres"" + 0.011*""temu"" + 0.010*""sekolah"" + 0.010*""korban"" + 0.009*""muara_sungai"" + 0.009*""muhammadiyah"" + 0.009*""curi"" + 0.008*""tni"" + 0.008*""pokok"""
1,"0.023*""polda_diy"" + 0.018*""tambah"" + 0.018*""polda"" + 0.014*""kabupaten_sleman"" + 0.013*""kabupaten_bantul"" + 0.013*""konfirmasi_positif"" + 0.013*""tracing_kontak"" + 0.013*""juru_bicara"" + 0.012*""periksa_mandiri"" + 0.011*""pasien_sembuh"""
2,"0.015*""agama"" + 0.013*""ukur"" + 0.011*""langkah"" + 0.011*""air"" + 0.010*""guru"" + 0.009*""tutup"" + 0.009*""mm_detik"" + 0.009*""serikat"" + 0.009*""ganggu"" + 0.008*""vaksin_astrazeneca"""
3,"0.021*""zona"" + 0.016*""kutip_reuters"" + 0.011*""darah"" + 0.011*""dokter"" + 0.011*""kelompok"" + 0.011*""senjata"" + 0.009*""serang"" + 0.008*""diskusi"" + 0.008*""myanmar"" + 0.007*""merah"""
4,"0.014*""gunungkidul"" + 0.013*""seleksi"" + 0.012*""kelola"" + 0.011*""seni"" + 0.011*""bantul"" + 0.011*""rumah_sakit"" + 0.009*""muncul"" + 0.007*""ajar_tatap"" + 0.007*""mati"" + 0.007*""warna"""
5,"0.021*""arab_saudi"" + 0.020*""china"" + 0.013*""teman"" + 0.010*""pohon"" + 0.009*""akp"" + 0.008*""stok"" + 0.008*""saudi"" + 0.008*""polsek"" + 0.007*""laku_tangkap"" + 0.007*""reskrim"""
6,"0.014*""protokol_sehat"" + 0.014*""sleman"" + 0.011*""orang_tua"" + 0.011*""pandemi_covid"" + 0.009*""vaksinasi"" + 0.009*""kota_yogyakarta"" + 0.009*""pasar"" + 0.008*""persen"" + 0.008*""harga_cabai"" + 0.008*""harga"""
7,"0.032*""makam"" + 0.019*""wali_kota"" + 0.014*""juru_kunci"" + 0.011*""teman"" + 0.010*""tumbuh"" + 0.009*""solo"" + 0.008*""presiden"" + 0.008*""ahli"" + 0.007*""area"" + 0.005*""jokowi"""
8,"0.025*""gugur_lava"" + 0.022*""gunung_rapi"" + 0.022*""jarak_luncur"" + 0.017*""awan_panas"" + 0.016*""arah_barat"" + 0.014*""gugur"" + 0.014*""kali_gempa"" + 0.014*""rapi"" + 0.012*""lava"" + 0.012*""gunung"""
9,"0.017*""korban"" + 0.015*""sepeda_motor"" + 0.011*""media_sosial"" + 0.011*""dagang_pasar"" + 0.009*""unjung"" + 0.009*""salah_satu"" + 0.009*""polisi"" + 0.009*""titik"" + 0.009*""kawasan"" + 0.008*""etle"""
