,Topic,Word,P
0,0,bom_bunuh,0.031450514
1,0,isis_k,0.019951344
2,0,talib,0.014623947
3,0,afghanistan,0.014438385
4,0,bom,0.012322304
5,0,as,0.012278667
6,0,serang,0.011755686
7,0,bandara,0.01138257
8,0,kabul,0.011318023
9,0,bunuh,0.010898967
10,1,awan_panas,0.030428223
11,1,jarak_luncur,0.018570075
12,1,arah_barat,0.01222877
13,1,gunung_rapi,0.01190517
14,1,awan,0.010646465
15,1,amplitudo_mm,0.010223813
16,1,panas,0.009781154
17,1,gugur,0.00852369
18,1,bpptkg,0.007281732
19,1,luncur,0.007079886
20,2,vaksinasi,0.020040363
21,2,kota_yogyakarta,0.017023396
22,2,laksana_vaksinasi,0.015142854
23,2,sepeda_motor,0.011658595
24,2,vaksinasi_covid,0.009980695
25,2,orang_tua,0.0096125025
26,2,korban,0.008882765
27,2,lokasi_jadi,0.00800232
28,2,ajar,0.0074815135
29,2,truk,0.006544984
30,3,lulus,0.015868604
31,3,abdi,0.0035377657
32,3,tahu,0.0023870338
33,3,kampus,0.002201459
34,3,contoh,0.0019565434
35,3,siar,0.0017880152
36,3,mampu,0.0016388462
37,3,ahmad,0.0016272251
38,3,titik,0.0015530798
39,3,global,0.0013018817
40,4,bantul,0.008152287
41,4,rumah_sakit,0.0076202257
42,4,objek_wisata,0.0074628955
43,4,tinggal_dunia,0.007430747
44,4,kabupaten_bantul,0.006235399
45,4,dinas_sehat,0.0061883456
46,4,gunungkidul,0.005256855
47,4,pasien,0.0052249013
48,4,sabtu,0.005010003
49,4,serta,0.004904089
