,Topic:
0,"0.031*""bom_bunuh"" + 0.020*""isis_k"" + 0.015*""talib"" + 0.014*""afghanistan"" + 0.012*""bom"" + 0.012*""as"" + 0.012*""serang"" + 0.011*""bandara"" + 0.011*""kabul"" + 0.011*""bunuh"""
1,"0.030*""awan_panas"" + 0.019*""jarak_luncur"" + 0.012*""arah_barat"" + 0.012*""gunung_rapi"" + 0.011*""awan"" + 0.010*""amplitudo_mm"" + 0.010*""panas"" + 0.009*""gugur"" + 0.007*""bpptkg"" + 0.007*""luncur"""
2,"0.020*""vaksinasi"" + 0.017*""kota_yogyakarta"" + 0.015*""laksana_vaksinasi"" + 0.012*""sepeda_motor"" + 0.010*""vaksinasi_covid"" + 0.010*""orang_tua"" + 0.009*""korban"" + 0.008*""lokasi_jadi"" + 0.007*""ajar"" + 0.007*""truk"""
3,"0.016*""lulus"" + 0.004*""abdi"" + 0.002*""tahu"" + 0.002*""kampus"" + 0.002*""contoh"" + 0.002*""siar"" + 0.002*""mampu"" + 0.002*""ahmad"" + 0.002*""titik"" + 0.001*""global"""
4,"0.008*""bantul"" + 0.008*""rumah_sakit"" + 0.007*""objek_wisata"" + 0.007*""tinggal_dunia"" + 0.006*""kabupaten_bantul"" + 0.006*""dinas_sehat"" + 0.005*""gunungkidul"" + 0.005*""pasien"" + 0.005*""sabtu"" + 0.005*""serta"""
