,Topic:
0,"0.011*""ayam"" + 0.010*""lurah"" + 0.007*""kabupaten_sleman"" + 0.006*""ngaglik_sleman"" + 0.006*""dagang"" + 0.006*""anak"" + 0.006*""hobi"" + 0.006*""prof"" + 0.005*""ngaglik"" + 0.005*""negeri"""
1,"0.011*""celaka"" + 0.010*""rumah_sakit"" + 0.009*""alami_luka"" + 0.008*""vanessa"" + 0.008*""tinggal_dunia"" + 0.008*""korban"" + 0.007*""jombang"" + 0.007*""mobil"" + 0.006*""budaya"" + 0.006*""gempa"""
2,"0.009*""warga_bina"" + 0.008*""kota_yogyakarta"" + 0.006*""bantul"" + 0.006*""positif_covid"" + 0.006*""lapas_narkotika"" + 0.005*""diy"" + 0.005*""pasu"" + 0.004*""rusia"" + 0.004*""jakarta"" + 0.004*""lapor"""
