,Topic:
0,"0.016*""jenazah"" + 0.014*""ambulans"" + 0.010*""vaksin"" + 0.009*""vaksinasi"" + 0.008*""tinggal_dunia"" + 0.007*""ratus"" + 0.007*""mlati"" + 0.007*""herd_immunity"" + 0.007*""dinas_sehat"" + 0.006*""mohon"""
1,"0.011*""mobilitas_masyarakat"" + 0.009*""jam_wib"" + 0.006*""korban"" + 0.005*""mobilitas"" + 0.005*""bersih"" + 0.005*""varian_delta"" + 0.005*""kulonprogo"" + 0.005*""papua"" + 0.005*""perempuan"" + 0.005*""restoran"""
2,"0.009*""pemda_diy"" + 0.008*""positif_covid"" + 0.008*""kapasitas_tidur"" + 0.007*""positif"" + 0.007*""pasar"" + 0.007*""pasar_tradisional"" + 0.007*""obat"" + 0.007*""kota_yogyakarta"" + 0.007*""kabag_humas"" + 0.007*""pemkab_sleman"""
