,Topic:
0,"0.038*""awan_panas"" + 0.029*""jarak_luncur"" + 0.023*""mantan"" + 0.022*""isolasi_mandiri"" + 0.020*""barat_daya"" + 0.018*""gunung_rapi"" + 0.018*""awan"" + 0.018*""arah_barat"" + 0.016*""timbang"" + 0.013*""durasi_detik"""
1,"0.028*""pabrik"" + 0.027*""gunungkidul_dewi"" + 0.026*""partai_politik"" + 0.026*""politik"" + 0.025*""intensif"" + 0.022*""resmi"" + 0.019*""corona"" + 0.010*""rabu"" + 0.009*""la_nyalla"" + 0.005*""nyalla"""
2,"0.009*""pasar"" + 0.008*""dagang"" + 0.008*""calon"" + 0.007*""berangkat"" + 0.007*""haji"" + 0.006*""pt"" + 0.006*""siswa"" + 0.006*""mahasiswa"" + 0.006*""tatap_muka"" + 0.005*""persero"""
3,"0.015*""sepeda_motor"" + 0.012*""mobil"" + 0.010*""korban"" + 0.009*""curi"" + 0.009*""nopol_ab"" + 0.007*""polres"" + 0.007*""laku"" + 0.007*""motor"" + 0.006*""polres_kulonprogo"" + 0.006*""kendara"""
4,"0.049*""sangka"" + 0.032*""m"" + 0.028*""tangkap"" + 0.027*""senjata"" + 0.026*""sita"" + 0.026*""camat"" + 0.025*""jenis"" + 0.024*""api"" + 0.023*""desa"" + 0.019*""barang_bukti"""
5,"0.033*""ugm"" + 0.033*""zona"" + 0.022*""fakultas"" + 0.018*""layan"" + 0.016*""teknik"" + 0.011*""tetap"" + 0.010*""lingkung"" + 0.010*""tingkat"" + 0.010*""terang_tulis"" + 0.010*""salah_satu"""
6,"0.038*""ungkap"" + 0.033*""rangka"" + 0.021*""keras"" + 0.019*""berat"" + 0.017*""iii"" + 0.017*""lengkap"" + 0.013*""surat"" + 0.013*""bebas"" + 0.012*""terus"" + 0.012*""wajib"""
7,"0.060*""tular_covid"" + 0.045*""virus_corona"" + 0.033*""tangan_covid"" + 0.024*""swasta"" + 0.024*""tular"" + 0.024*""cegah_tular"" + 0.023*""kantor"" + 0.020*""konfirmasi_covid"" + 0.017*""baning"" + 0.017*""ton"""
8,"0.105*""partai"" + 0.041*""gabung"" + 0.037*""salah_satu"" + 0.029*""dewan"" + 0.020*""negara"" + 0.019*""bangun"" + 0.019*""jakarta"" + 0.017*""dpp"" + 0.017*""percaya"" + 0.017*""jujur"""
9,"0.038*""klaster"" + 0.036*""tinggal_dunia"" + 0.036*""protokol_sehat"" + 0.026*""gunungkidul"" + 0.019*""kepala_dinas"" + 0.019*""tangan_covid"" + 0.013*""gugus_tugas"" + 0.013*""tangan"" + 0.012*""protokol"" + 0.011*""dunia"""
