,Topic,Word,P
0,0,sleman,0.05407454
1,0,dosen,0.032997753
2,0,kabupaten_sleman,0.02732921
3,0,pandemi_covid,0.026780192
4,0,remaja,0.019693263
5,0,program,0.019628603
6,0,tri,0.01612221
7,0,miskin,0.015223061
8,0,daya,0.014781614
9,0,bantu,0.014231834
10,1,hotel,0.029721782
11,1,jawa_barat,0.022849262
12,1,sangka,0.021921646
13,1,enam,0.0187844
14,1,minyak_goreng,0.0182303
15,1,dapat,0.017298393
16,1,jabar,0.015526946
17,1,kilogram,0.014524054
18,1,harga,0.014180745
19,1,telur_ayam,0.012698873
20,2,laksana_vaksinasi,0.03579833
21,2,gara,0.031090237
22,2,vaksinasi,0.026947776
23,2,vaksin,0.020459162
24,2,anak,0.02000433
25,2,ajar,0.018816495
26,2,panggil,0.017122816
27,2,gara_gara,0.016114851
28,2,anak_usia,0.016002053
29,2,vaksinasi_covid,0.014996679
30,3,rumah_sakit,0.03849286
31,3,sumber,0.032953836
32,3,cctv,0.029980343
33,3,keri,0.017233178
34,3,identifikasi,0.016563918
35,3,antar,0.016021287
36,3,sakit,0.015815532
37,3,rekam,0.015494142
38,3,pasar,0.014628021
39,3,olah,0.014334111
40,4,dpd,0.03921206
41,4,partai,0.03468426
42,4,polres_kulonprogo,0.03150993
43,4,kader,0.031249974
44,4,urus,0.028073564
45,4,milu,0.02369062
46,4,tolak,0.0201748
47,4,purworejo,0.019730583
48,4,polsek,0.019392444
49,4,alas,0.018099457
50,5,diy,0.02243185
51,5,kota_yogyakarta,0.019862395
52,5,alun,0.018185247
53,5,alun_alun,0.018185247
54,5,kota,0.016802149
55,5,cegah,0.014822777
56,5,wanita,0.012554454
57,5,saudi,0.0122187855
58,5,kawasan,0.011663829
59,5,komunikasi,0.01165982
60,6,sar,0.032294046
61,6,desa,0.029260831
62,6,kopda_da,0.02869732
63,6,militer,0.026939427
64,6,arah_barat,0.02049499
65,6,udara,0.01922559
66,6,jenderal_tni,0.016298937
67,6,as,0.01319261
68,6,luncur,0.012955825
69,6,da,0.012903102
70,7,wali,0.04755879
71,7,siswa,0.023110243
72,7,ramai,0.02024118
73,7,pemkot,0.016816946
74,7,izin,0.013162576
75,7,instruksi,0.011918436
76,7,lapor_polisi,0.011742649
77,7,kota_pemkot,0.009258003
78,7,hadiah,0.009105527
79,7,pamong_praja,0.008554026
80,8,mantan,0.02642582
81,8,tular_covid,0.022791944
82,8,tumbuh,0.02026177
83,8,wajar,0.018800026
84,8,malaysia,0.01645412
85,8,sidang,0.014433247
86,8,pemkab_kulonprogo,0.013288968
87,8,jaksa,0.011820161
88,8,landa,0.010753029
89,8,rapi,0.010390783
90,9,terap_protokol,0.031326402
91,9,latih,0.024870945
92,9,salur,0.024314621
93,9,juang,0.022780297
94,9,wakil_ketua,0.018909045
95,9,tegak,0.01809673
96,9,angka_miskin,0.01762072
97,9,kh,0.016621374
98,9,pimpin,0.0162318
99,9,oknum,0.015838278
100,10,bantul,0.030488176
101,10,jahat_jalan,0.030209837
102,10,klitih,0.01791445
103,10,lapor,0.015487852
104,10,latih,0.01353611
105,10,kombes_pol,0.013053509
106,10,kapolres,0.012523031
107,10,empat,0.012123217
108,10,jahat,0.011962685
109,10,akbp,0.011358439
110,11,kereta_api,0.028000856
111,11,kereta,0.015794015
112,11,tumpang,0.014342643
113,11,uji,0.014071479
114,11,sim,0.010804224
115,11,indah,0.008794217
116,11,polresta,0.0074952836
117,11,psikologi,0.0068431897
118,11,kai,0.006775553
119,11,daop,0.0064637274
120,12,omicron,0.031305794
121,12,positif_covid,0.027131941
122,12,vaksinasi_covid,0.024389604
123,12,laku_jalan,0.020375626
124,12,resmi,0.018435152
125,12,indonesia,0.015488232
126,12,wisma_atlet,0.014320722
127,12,wni,0.012290789
128,12,juru,0.011815491
129,12,juru_bicara,0.011815491
130,13,infeksi,0.023975005
131,13,satgas,0.016195975
132,13,pasien_sembuh,0.012418308
133,13,banguntapan,0.011713162
134,13,kabar,0.010449762
135,13,tanggulang,0.010419869
136,13,hari,0.009433503
137,13,total,0.008974871
138,13,enam,0.007675352
139,13,corona,0.0026252633
140,14,tni_ad,0.030466672
141,14,tahan,0.021882607
142,14,instalasi,0.01925799
143,14,tni,0.018534826
144,14,andika,0.018141426
145,14,paket,0.017549539
146,14,dana,0.015494596
147,14,smart,0.014705197
148,14,kolonel,0.014199678
149,14,kolonel_inf,0.01368448
150,15,barat_daya,0.038264148
151,15,lava,0.035702642
152,15,gunung_rapi,0.032631386
153,15,bpptkg,0.027420767
154,15,meter_arah,0.026004909
155,15,amat,0.02257156
156,15,geologi,0.015188605
157,15,meter,0.014253153
158,15,hanik,0.014252324
159,15,gugur,0.014217065
160,16,istri,0.061256118
161,16,video,0.031761322
162,16,pria,0.027182179
163,16,dakwa,0.026020145
164,16,buat,0.02177212
165,16,bencana,0.021417437
166,16,rekam,0.018472986
167,16,anak_usia,0.01740677
168,16,kena,0.01716138
169,16,anak,0.01511288
170,17,tutup,0.01926664
171,17,cari,0.016031643
172,17,satpol_pp,0.014190557
173,17,anggota,0.0136164185
174,17,malam,0.013278291
175,17,lintas,0.01246463
176,17,kendara,0.012309651
177,17,gunungkidul,0.012043304
178,17,varian_omicron,0.011285235
179,17,batas,0.0112701235
180,18,air,0.034969866
181,18,korban,0.02995728
182,18,kulonprogo,0.01933471
183,18,jadi,0.018995197
184,18,luka,0.016465418
185,18,curi,0.015884187
186,18,juta,0.013794753
187,18,hujan,0.013663161
188,18,tidur,0.013154115
189,18,objek_wisata,0.012426723
190,19,lokal,0.03669346
191,19,sumber_daya,0.03592933
192,19,tangkap,0.024389554
193,19,tindak_pidana,0.023644727
194,19,identitas,0.021995462
195,19,daftar,0.018611483
196,19,sidang,0.015664406
197,19,ratus,0.015378018
198,19,dokumen,0.014117211
199,19,langgar,0.013159988
200,20,tanam,0.03795243
201,20,pandemi_covid,0.022839129
202,20,serta,0.022368038
203,20,ugm,0.015057656
204,20,online,0.015029123
205,20,buah,0.011573379
206,20,motivasi,0.0101688355
207,20,studi,0.00905929
208,20,sosok,0.0073562725
209,20,kalang,0.0065880916
210,21,pasang,0.03524094
211,21,muda,0.032145277
212,21,tiga,0.02323353
213,21,usia,0.02039001
214,21,sadis,0.020252656
215,21,janji,0.0188089
216,21,hukum,0.018583793
217,21,penjara,0.017613718
218,21,iii,0.01754931
219,21,sungguh,0.014098584
220,22,umat,0.030940594
221,22,pesantren,0.019048167
222,22,sembilan,0.0101048015
223,22,periksa_saksi,0.008157067
224,22,tunjang,0.007887794
225,22,selidik,0.0067509124
226,22,nanggulan,0.006198466
227,22,nu,0.005118106
228,22,gantung,0.0032352912
229,22,maju,0.002673197
