,Topic:
0,"0.054*""sleman"" + 0.033*""dosen"" + 0.027*""kabupaten_sleman"" + 0.027*""pandemi_covid"" + 0.020*""remaja"" + 0.020*""program"" + 0.016*""tri"" + 0.015*""miskin"" + 0.015*""daya"" + 0.014*""bantu"""
1,"0.030*""hotel"" + 0.023*""jawa_barat"" + 0.022*""sangka"" + 0.019*""enam"" + 0.018*""minyak_goreng"" + 0.017*""dapat"" + 0.016*""jabar"" + 0.015*""kilogram"" + 0.014*""harga"" + 0.013*""telur_ayam"""
2,"0.036*""laksana_vaksinasi"" + 0.031*""gara"" + 0.027*""vaksinasi"" + 0.020*""vaksin"" + 0.020*""anak"" + 0.019*""ajar"" + 0.017*""panggil"" + 0.016*""gara_gara"" + 0.016*""anak_usia"" + 0.015*""vaksinasi_covid"""
3,"0.038*""rumah_sakit"" + 0.033*""sumber"" + 0.030*""cctv"" + 0.017*""keri"" + 0.017*""identifikasi"" + 0.016*""antar"" + 0.016*""sakit"" + 0.015*""rekam"" + 0.015*""pasar"" + 0.014*""olah"""
4,"0.039*""dpd"" + 0.035*""partai"" + 0.032*""polres_kulonprogo"" + 0.031*""kader"" + 0.028*""urus"" + 0.024*""milu"" + 0.020*""tolak"" + 0.020*""purworejo"" + 0.019*""polsek"" + 0.018*""alas"""
5,"0.022*""diy"" + 0.020*""kota_yogyakarta"" + 0.018*""alun"" + 0.018*""alun_alun"" + 0.017*""kota"" + 0.015*""cegah"" + 0.013*""wanita"" + 0.012*""saudi"" + 0.012*""kawasan"" + 0.012*""komunikasi"""
6,"0.032*""sar"" + 0.029*""desa"" + 0.029*""kopda_da"" + 0.027*""militer"" + 0.020*""arah_barat"" + 0.019*""udara"" + 0.016*""jenderal_tni"" + 0.013*""as"" + 0.013*""luncur"" + 0.013*""da"""
7,"0.048*""wali"" + 0.023*""siswa"" + 0.020*""ramai"" + 0.017*""pemkot"" + 0.013*""izin"" + 0.012*""instruksi"" + 0.012*""lapor_polisi"" + 0.009*""kota_pemkot"" + 0.009*""hadiah"" + 0.009*""pamong_praja"""
8,"0.026*""mantan"" + 0.023*""tular_covid"" + 0.020*""tumbuh"" + 0.019*""wajar"" + 0.016*""malaysia"" + 0.014*""sidang"" + 0.013*""pemkab_kulonprogo"" + 0.012*""jaksa"" + 0.011*""landa"" + 0.010*""rapi"""
9,"0.031*""terap_protokol"" + 0.025*""latih"" + 0.024*""salur"" + 0.023*""juang"" + 0.019*""wakil_ketua"" + 0.018*""tegak"" + 0.018*""angka_miskin"" + 0.017*""kh"" + 0.016*""pimpin"" + 0.016*""oknum"""
10,"0.030*""bantul"" + 0.030*""jahat_jalan"" + 0.018*""klitih"" + 0.015*""lapor"" + 0.014*""latih"" + 0.013*""kombes_pol"" + 0.013*""kapolres"" + 0.012*""empat"" + 0.012*""jahat"" + 0.011*""akbp"""
11,"0.028*""kereta_api"" + 0.016*""kereta"" + 0.014*""tumpang"" + 0.014*""uji"" + 0.011*""sim"" + 0.009*""indah"" + 0.007*""polresta"" + 0.007*""psikologi"" + 0.007*""kai"" + 0.006*""daop"""
12,"0.031*""omicron"" + 0.027*""positif_covid"" + 0.024*""vaksinasi_covid"" + 0.020*""laku_jalan"" + 0.018*""resmi"" + 0.015*""indonesia"" + 0.014*""wisma_atlet"" + 0.012*""wni"" + 0.012*""juru"" + 0.012*""juru_bicara"""
13,"0.024*""infeksi"" + 0.016*""satgas"" + 0.012*""pasien_sembuh"" + 0.012*""banguntapan"" + 0.010*""kabar"" + 0.010*""tanggulang"" + 0.009*""hari"" + 0.009*""total"" + 0.008*""enam"" + 0.003*""corona"""
14,"0.030*""tni_ad"" + 0.022*""tahan"" + 0.019*""instalasi"" + 0.019*""tni"" + 0.018*""andika"" + 0.018*""paket"" + 0.015*""dana"" + 0.015*""smart"" + 0.014*""kolonel"" + 0.014*""kolonel_inf"""
15,"0.038*""barat_daya"" + 0.036*""lava"" + 0.033*""gunung_rapi"" + 0.027*""bpptkg"" + 0.026*""meter_arah"" + 0.023*""amat"" + 0.015*""geologi"" + 0.014*""meter"" + 0.014*""hanik"" + 0.014*""gugur"""
16,"0.061*""istri"" + 0.032*""video"" + 0.027*""pria"" + 0.026*""dakwa"" + 0.022*""buat"" + 0.021*""bencana"" + 0.018*""rekam"" + 0.017*""anak_usia"" + 0.017*""kena"" + 0.015*""anak"""
17,"0.019*""tutup"" + 0.016*""cari"" + 0.014*""satpol_pp"" + 0.014*""anggota"" + 0.013*""malam"" + 0.012*""lintas"" + 0.012*""kendara"" + 0.012*""gunungkidul"" + 0.011*""varian_omicron"" + 0.011*""batas"""
