,Topic:
0,"0.016*""banjir"" + 0.015*""tinggi"" + 0.014*""genang"" + 0.014*""air"" + 0.012*""hujan"" + 0.011*""semarang"" + 0.008*""guyur"" + 0.006*""hujan_deras"" + 0.005*""titik"" + 0.005*""curah_hujan"""
1,"0.017*""jarak_luncur"" + 0.013*""amplitudo_mm"" + 0.012*""kereta_api"" + 0.012*""awan_panas"" + 0.012*""lava_pijar"" + 0.011*""gunung_rapi"" + 0.011*""gugur_lava"" + 0.011*""barat_daya"" + 0.009*""kereta"" + 0.008*""lava"""
2,"0.004*""duga_korupsi"" + 0.004*""bangun_stadion"" + 0.004*""mandala_krida"" + 0.003*""krida"" + 0.003*""stadion"" + 0.003*""mandala"" + 0.002*""geledah"" + 0.002*""kpk"" + 0.002*""korupsi"" + 0.002*""sidi"""
3,"0.020*""korban"" + 0.013*""barang_bukti"" + 0.013*""polda_diy"" + 0.011*""polisi"" + 0.011*""laku"" + 0.009*""lari"" + 0.009*""pria"" + 0.009*""buah"" + 0.008*""polres"" + 0.008*""tangkap"""
4,"0.007*""bantul"" + 0.006*""tangan_covid"" + 0.006*""narkoba"" + 0.006*""anggota_polri"" + 0.006*""polri"" + 0.005*""usul"" + 0.005*""diy"" + 0.005*""ppkm_mikro"" + 0.005*""dagang"" + 0.005*""lantik"""
