,Topic:
0,"0.012*""pemkab_sleman"" + 0.012*""raja"" + 0.008*""kabupaten_sleman"" + 0.007*""kepala_dinas"" + 0.006*""aktif"" + 0.006*""irjen_napoleon"" + 0.006*""capai_persen"" + 0.005*""hadiah"" + 0.005*""bupati_sleman"" + 0.005*""pakan"""
1,"0.008*""korban"" + 0.008*""vaksinasi"" + 0.006*""sekolah"" + 0.005*""ptm"" + 0.005*""kulonprogo"" + 0.005*""cepat_vaksinasi"" + 0.005*""laksana_vaksinasi"" + 0.005*""ajar"" + 0.004*""gunungkidul"" + 0.004*""lbh_yogyakarta"""
2,"0.009*""sepeda_motor"" + 0.008*""hilang"" + 0.007*""mahasiswa"" + 0.006*""juru_bicara"" + 0.006*""as"" + 0.006*""pandemi_covid"" + 0.005*""gunung_rapi"" + 0.005*""serang"" + 0.005*""indonesia"" + 0.005*""pasu"""
3,"0.014*""uji_coba"" + 0.012*""wisata"" + 0.011*""objek_wisata"" + 0.009*""destinasi_wisata"" + 0.008*""protokol_sehat"" + 0.007*""terap_protokol"" + 0.007*""anak_anak"" + 0.007*""wisatawan"" + 0.007*""gunung_bintang"" + 0.006*""ppkm_level"""
