,Topic:
0,"0.015*""banjir"" + 0.015*""bantu"" + 0.008*""pesawat"" + 0.008*""selatan"" + 0.007*""serah"" + 0.007*""m"" + 0.006*""lepas"" + 0.006*""bencana"" + 0.006*""tni"" + 0.004*""korban"""
1,"0.021*""awan_panas"" + 0.016*""barak_ungsi"" + 0.015*""gunung_rapi"" + 0.012*""ungsi"" + 0.012*""jarak_luncur"" + 0.010*""bpptkg_catat"" + 0.009*""awan"" + 0.008*""panas"" + 0.008*""rapi"" + 0.008*""gugur"""
2,"0.012*""listyo_sigit"" + 0.009*""kota_yogyakarta"" + 0.008*""ugm"" + 0.007*""rumah_sakit"" + 0.006*""darah"" + 0.006*""hajat"" + 0.005*""gunungkidul"" + 0.005*""indonesia"" + 0.005*""sigit"" + 0.005*""swab_antigen"""
3,"0.013*""vaksin"" + 0.009*""jalan_isolasi"" + 0.008*""vaksinasi"" + 0.008*""harga"" + 0.008*""tenaga_sehat"" + 0.008*""hujan_deras"" + 0.007*""sumber_daya"" + 0.007*""isolasi"" + 0.007*""sunti"" + 0.006*""kepala_dinas"""
