,Topic,Word,P
0,0,perindo,0.008871034
1,0,partai_perindo,0.0072346963
2,0,perindo_diy,0.0066505857
3,0,bingkis,0.0039417148
4,0,dagang_pasar,0.003936928
5,0,partai,0.0032707392
6,0,yuni,0.0029112746
7,0,baksos,0.0028024472
8,0,dpw,0.002692349
9,0,bagi,0.0022928605
10,1,menu,0.1135419
11,1,kepala,0.07965789
12,1,olah,0.07421987
13,1,kabupaten_bantul,0.040952556
14,1,joglo,0.039134778
15,1,potong,0.037967104
16,1,bantul,0.03696783
17,1,buka,0.025477985
18,1,wib,0.020915108
19,1,hewan,0.019216998
20,2,protokol_sehat,0.0010966455
21,2,uji_coba,0.0010954776
22,2,orang_tua,0.0010285963
23,2,uji,0.0009771347
24,2,selam,0.0009639689
25,2,gempa,0.0009509202
26,2,sd,0.00095071056
27,2,protokol,0.00095016084
28,2,laksana,0.00093283935
29,2,ugm,0.00092303124
30,3,pinjol_ilegal,0.012100756
31,3,polda_diy,0.008666309
32,3,pinjol,0.008136158
33,3,polda_jabar,0.007883718
34,3,polda,0.0063269967
35,3,pinjam_online,0.005328616
36,3,ilegal,0.005112186
37,3,jabar,0.004549768
38,3,kawasan_malioboro,0.0043984647
39,3,kombes_pol,0.003966182
40,4,kota_yogyakarta,0.0051627634
41,4,gunungkidul,0.0041631795
42,4,kulonprogo,0.0038657668
43,4,korban,0.003754632
44,4,sepeda_motor,0.0037372226
45,4,pandemi_covid,0.0035845907
46,4,uji_coba,0.0035234895
47,4,temu,0.0033390108
48,4,rumah_sakit,0.0033197862
49,4,protokol_sehat,0.0030874542
50,5,warung,0.2069524
51,5,kuliner,0.09032604
52,5,bekal,0.0323456
53,5,cuci,0.03204732
54,5,kualitas,0.02980852
55,5,beli,0.026550882
56,5,usaha,0.021076506
57,5,utara,0.020175101
58,5,habis,0.018065589
59,5,padu,0.016432064
