,Topic:
0,"0.009*""perindo"" + 0.007*""partai_perindo"" + 0.007*""perindo_diy"" + 0.004*""bingkis"" + 0.004*""dagang_pasar"" + 0.003*""partai"" + 0.003*""yuni"" + 0.003*""baksos"" + 0.003*""dpw"" + 0.002*""bagi"""
1,"0.114*""menu"" + 0.080*""kepala"" + 0.074*""olah"" + 0.041*""kabupaten_bantul"" + 0.039*""joglo"" + 0.038*""potong"" + 0.037*""bantul"" + 0.025*""buka"" + 0.021*""wib"" + 0.019*""hewan"""
2,"0.001*""protokol_sehat"" + 0.001*""uji_coba"" + 0.001*""orang_tua"" + 0.001*""uji"" + 0.001*""selam"" + 0.001*""gempa"" + 0.001*""sd"" + 0.001*""protokol"" + 0.001*""laksana"" + 0.001*""ugm"""
3,"0.012*""pinjol_ilegal"" + 0.009*""polda_diy"" + 0.008*""pinjol"" + 0.008*""polda_jabar"" + 0.006*""polda"" + 0.005*""pinjam_online"" + 0.005*""ilegal"" + 0.005*""jabar"" + 0.004*""kawasan_malioboro"" + 0.004*""kombes_pol"""
4,"0.005*""kota_yogyakarta"" + 0.004*""gunungkidul"" + 0.004*""kulonprogo"" + 0.004*""korban"" + 0.004*""sepeda_motor"" + 0.004*""pandemi_covid"" + 0.004*""uji_coba"" + 0.003*""temu"" + 0.003*""rumah_sakit"" + 0.003*""protokol_sehat"""
5,"0.207*""warung"" + 0.090*""kuliner"" + 0.032*""bekal"" + 0.032*""cuci"" + 0.030*""kualitas"" + 0.027*""beli"" + 0.021*""usaha"" + 0.020*""utara"" + 0.018*""habis"" + 0.016*""padu"""
