,Topic:
0,"0.028*""barat_daya"" + 0.024*""awan_panas"" + 0.018*""gempa"" + 0.017*""tanam"" + 0.016*""gunung_rapi"" + 0.016*""jarak_luncur"" + 0.012*""buah"" + 0.012*""kerap"" + 0.011*""bumi"" + 0.011*""kali_gempa"""
1,"0.001*""klaten"" + 0.001*""remaja"" + 0.001*""mlati_sleman"" + 0.001*""laki"" + 0.001*""bayar"" + 0.001*""surat"" + 0.001*""tujuh"" + 0.001*""urus"" + 0.001*""ekor"" + 0.001*""laki_laki"""
2,"0.015*""mobil"" + 0.013*""tumpang"" + 0.012*""korban"" + 0.010*""mlati"" + 0.010*""laku"" + 0.008*""semarang"" + 0.008*""hukum"" + 0.008*""mlati_sleman"" + 0.008*""bantul"" + 0.007*""sepeda_motor"""
3,"0.003*""tracing_kontak"" + 0.003*""kontak"" + 0.003*""screening_karyawan"" + 0.003*""tambah_total"" + 0.003*""dominasi"" + 0.003*""biro"" + 0.003*""diy_ditya"" + 0.003*""ditya"" + 0.003*""nanaryo_aji"" + 0.003*""nanaryo"""
4,"0.023*""kota_yogyakarta"" + 0.020*""vaksinasi"" + 0.017*""ppkm_level"" + 0.011*""vaksin"" + 0.010*""merah"" + 0.009*""kota"" + 0.008*""harga"" + 0.007*""pesawat"" + 0.007*""pariwisata"" + 0.007*""laksana"""
5,"0.005*""kaki"" + 0.001*""serah_bantu"" + 0.001*""jawa_timur"" + 0.001*""perintah_daerah"" + 0.001*""ukur"" + 0.001*""sembako"" + 0.001*""mobilitas"" + 0.001*""positif_covid"" + 0.001*""bantu"" + 0.001*""konfirmasi_positif"""
6,"0.030*""gelombang"" + 0.028*""pakai_masker"" + 0.020*""air"" + 0.019*""malioboro"" + 0.019*""pantai"" + 0.018*""masker"" + 0.015*""kawasan"" + 0.014*""rusak"" + 0.012*""kota_yogyakarta"" + 0.011*""warung"""
