,Topic:
0,"0.015*""buka_puasa"" + 0.012*""salat_tarawih"" + 0.011*""wib"" + 0.011*""kota_yogyakarta"" + 0.011*""salat"" + 0.009*""jadwal"" + 0.008*""puasa"" + 0.005*""ibadah"" + 0.005*""tarawih"" + 0.005*""kemenag"""
1,"0.015*""arab_saudi"" + 0.007*""sahur"" + 0.007*""kilogram"" + 0.007*""jam"" + 0.007*""wisata"" + 0.006*""daging"" + 0.006*""saudi"" + 0.006*""pandemi_covid"" + 0.006*""naik"" + 0.006*""bantul"""
2,"0.018*""tambah"" + 0.014*""covid_berty"" + 0.013*""kabupaten_bantul"" + 0.013*""positif"" + 0.012*""tambah_konfirmasi"" + 0.012*""kota_yogyakarta"" + 0.012*""kabupaten_gunungkidul"" + 0.011*""kabupaten_sleman"" + 0.010*""konfirmasi"" + 0.010*""tracing_kontak"""
3,"0.020*""awan_panas"" + 0.015*""gunung_rapi"" + 0.012*""barat_daya"" + 0.010*""rapi"" + 0.008*""jarak_luncur"" + 0.007*""awan"" + 0.007*""gugur"" + 0.007*""luncur"" + 0.007*""detik_jarak"" + 0.007*""panas"""
4,"0.018*""larang_mudik"" + 0.013*""mudik"" + 0.011*""mudik_lebaran"" + 0.008*""larang"" + 0.008*""bupati_sleman"" + 0.008*""lebaran"" + 0.007*""kabupaten_sleman"" + 0.007*""tular_covid"" + 0.007*""hujan"" + 0.006*""surat_edar"""
5,"0.012*""korban"" + 0.006*""tinggal_dunia"" + 0.005*""rumah_sakit"" + 0.005*""anak"" + 0.005*""masjid"" + 0.005*""polisi"" + 0.005*""kulonprogo"" + 0.005*""anak_anak"" + 0.005*""media_sosial"" + 0.005*""temu"""
