,Topic,Word,P
0,0,buka_puasa,0.014726854
1,0,salat_tarawih,0.011705726
2,0,wib,0.011097232
3,0,kota_yogyakarta,0.010745699
4,0,salat,0.010508969
5,0,jadwal,0.0094744405
6,0,puasa,0.0077953823
7,0,ibadah,0.005471023
8,0,tarawih,0.0049440432
9,0,kemenag,0.0048563215
10,1,arab_saudi,0.014913227
11,1,sahur,0.0072121983
12,1,kilogram,0.0071266564
13,1,jam,0.0070333397
14,1,wisata,0.0065278267
15,1,daging,0.006379308
16,1,saudi,0.006200977
17,1,pandemi_covid,0.0061810073
18,1,naik,0.0056002517
19,1,bantul,0.0056001595
20,2,tambah,0.01759473
21,2,covid_berty,0.014050592
22,2,kabupaten_bantul,0.013465246
23,2,positif,0.013014813
24,2,tambah_konfirmasi,0.012270802
25,2,kota_yogyakarta,0.011888515
26,2,kabupaten_gunungkidul,0.011616758
27,2,kabupaten_sleman,0.011230183
28,2,konfirmasi,0.010043396
29,2,tracing_kontak,0.009901497
30,3,awan_panas,0.020155782
31,3,gunung_rapi,0.01452461
32,3,barat_daya,0.012309991
33,3,rapi,0.009536448
34,3,jarak_luncur,0.008017871
35,3,awan,0.0073498366
36,3,gugur,0.0070024454
37,3,luncur,0.0068794265
38,3,detik_jarak,0.006770328
39,3,panas,0.006642285
40,4,larang_mudik,0.01790405
41,4,mudik,0.012865472
42,4,mudik_lebaran,0.011097208
43,4,larang,0.008290125
44,4,bupati_sleman,0.008286769
45,4,lebaran,0.007999845
46,4,kabupaten_sleman,0.007224978
47,4,tular_covid,0.006940132
48,4,hujan,0.0067150127
49,4,surat_edar,0.0060384967
50,5,korban,0.01216305
51,5,tinggal_dunia,0.005669106
52,5,rumah_sakit,0.005499363
53,5,anak,0.0053709107
54,5,masjid,0.0053583346
55,5,polisi,0.0050769295
56,5,kulonprogo,0.0050138463
57,5,anak_anak,0.0047671343
58,5,media_sosial,0.004629992
59,5,temu,0.0045874016
