,Topic:
0,"0.010*""zona_merah"" + 0.008*""gunung_rapi"" + 0.008*""amplitudo_mm"" + 0.006*""tembak"" + 0.006*""vaksin"" + 0.006*""personel"" + 0.006*""acara"" + 0.005*""camat"" + 0.005*""zona"" + 0.005*""vaksinasi"""
1,"0.008*""korban"" + 0.007*""air"" + 0.007*""parkir"" + 0.006*""haji"" + 0.006*""papua"" + 0.005*""jemaah_haji"" + 0.005*""harga"" + 0.004*""tarif_parkir"" + 0.004*""kawasan_malioboro"" + 0.004*""gunungkidul"""
2,"0.008*""protokol_sehat"" + 0.006*""bantul"" + 0.006*""kota_yogyakarta"" + 0.006*""rumah_sakit"" + 0.005*""pasien_covid"" + 0.005*""tambah"" + 0.005*""makam"" + 0.005*""positif_covid"" + 0.005*""celaka"" + 0.005*""kabupaten_bantul"""
