,Topic:
0,"0.026*""mobil"" + 0.017*""celaka"" + 0.015*""bayar"" + 0.012*""kulonprogo"" + 0.011*""bangun"" + 0.011*""jadi"" + 0.011*""nopol"" + 0.010*""kemudi"" + 0.008*""udara"" + 0.008*""janji"""
1,"0.027*""amplitudo_mm"" + 0.025*""gunung_rapi"" + 0.022*""jarak_luncur"" + 0.020*""arah_barat"" + 0.015*""gugur"" + 0.012*""gunung"" + 0.011*""panas"" + 0.011*""luncur"" + 0.010*""rapi"" + 0.010*""kali"""
2,"0.018*""anak"" + 0.012*""bunuh"" + 0.012*""islam"" + 0.010*""terima"" + 0.010*""polisi"" + 0.009*""sang"" + 0.009*""korban"" + 0.008*""beda"" + 0.008*""tewas"" + 0.008*""sangka"""
3,"0.013*""mobil"" + 0.012*""lahir"" + 0.009*""kkb"" + 0.008*""normal"" + 0.007*""edar"" + 0.007*""bersih"" + 0.007*""kelompok"" + 0.007*""bakar"" + 0.007*""arah"" + 0.007*""minum"""
4,"0.045*""sepeda_motor"" + 0.021*""motor"" + 0.021*""parkir"" + 0.018*""curi"" + 0.018*""laku"" + 0.018*""korban"" + 0.016*""sepeda"" + 0.015*""kulonprogo"" + 0.013*""polres"" + 0.012*""iptu"""
5,"0.032*""pos_sekat"" + 0.027*""kendara_putar"" + 0.019*""kendara"" + 0.017*""tumpang"" + 0.015*""sekat"" + 0.015*""putar"" + 0.012*""china"" + 0.010*""mudik"" + 0.009*""pos"" + 0.009*""nilai"""
6,"0.028*""sangka"" + 0.016*""pasal"" + 0.012*""laki"" + 0.011*""darah"" + 0.009*""tangkap"" + 0.009*""saksi"" + 0.008*""tumpang"" + 0.008*""tetap"" + 0.008*""ancam"" + 0.007*""temu"""
7,"0.043*""israel"" + 0.034*""palestina"" + 0.028*""serang"" + 0.022*""gaza"" + 0.015*""roket"" + 0.011*""pcr"" + 0.010*""gunungkidul"" + 0.010*""tes_pcr"" + 0.010*""jalur"" + 0.009*""tes"""
8,"0.012*""pasar"" + 0.011*""beli"" + 0.009*""hotel"" + 0.009*""papua"" + 0.009*""negara"" + 0.008*""berangkat"" + 0.008*""bina"" + 0.008*""barat"" + 0.007*""nyata"" + 0.007*""vaksinasi"""
9,"0.014*""video"" + 0.010*""pidana"" + 0.009*""suami"" + 0.009*""jenis"" + 0.009*""terima"" + 0.009*""marah"" + 0.008*""korban"" + 0.008*""olah"" + 0.008*""laki"" + 0.008*""bagi"""
10,"0.017*""mati"" + 0.010*""papua"" + 0.009*""posko"" + 0.009*""jenazah"" + 0.009*""layan"" + 0.008*""kali"" + 0.007*""pariwisata"" + 0.007*""ketua_dprd"" + 0.007*""dprd"" + 0.007*""gunungkidul"""
11,"0.017*""hotel"" + 0.013*""pemda_diy"" + 0.011*""pimpin"" + 0.011*""wakil"" + 0.009*""ketua"" + 0.008*""muhammadiyah"" + 0.008*""sepeda_motor"" + 0.008*""dprd"" + 0.008*""pemda"" + 0.008*""sikap"""
12,"0.020*""kabupaten_bantul"" + 0.020*""bantul"" + 0.018*""kabupaten_sleman"" + 0.018*""positif_covid"" + 0.017*""objek_wisata"" + 0.016*""tambah"" + 0.016*""tangan_covid"" + 0.014*""wisata"" + 0.014*""positif"" + 0.014*""rumah_sakit"""
13,"0.013*""selenggara"" + 0.012*""celaka"" + 0.011*""pegawai"" + 0.011*""luka"" + 0.009*""akibat"" + 0.009*""kkb"" + 0.009*""rusak"" + 0.008*""jadi"" + 0.008*""alami"" + 0.008*""panggil"""
14,"0.028*""idul_fitri"" + 0.011*""fitri"" + 0.011*""idul"" + 0.010*""raya"" + 0.010*""gunungkidul"" + 0.008*""gelar"" + 0.007*""libat"" + 0.007*""sulit"" + 0.007*""juta"" + 0.007*""penjara"""
15,"0.019*""larang_mudik"" + 0.014*""protokol_sehat"" + 0.012*""buka_puasa"" + 0.012*""terap_protokol"" + 0.011*""salat_idul"" + 0.011*""mudik"" + 0.010*""kerja"" + 0.010*""laksana"" + 0.010*""zona_merah"" + 0.009*""sebar_covid"""
