,Topic:
0,"0.028*""partai_golkar"" + 0.019*""sop"" + 0.018*""dr"" + 0.018*""tular_covid"" + 0.018*""kebumen"" + 0.017*""tradisi"" + 0.016*""main"" + 0.015*""udara"" + 0.013*""suasana"" + 0.013*""pos"""
1,"0.049*""capai_persen"" + 0.034*""kampus"" + 0.018*""sultan"" + 0.011*""sri_sultan"" + 0.011*""obat_keras"" + 0.008*""juta_butir"" + 0.008*""capai_vaksinasi"" + 0.007*""x"" + 0.007*""sri"" + 0.005*""butir"""
2,"0.012*""kacang"" + 0.010*""panen"" + 0.009*""komunal"" + 0.009*""herd_immunity"" + 0.009*""immunity"" + 0.009*""kebal"" + 0.009*""patuh"" + 0.008*""herd"" + 0.008*""papar_covid"" + 0.008*""terjun"""
3,"0.031*""libur"" + 0.020*""kartu"" + 0.018*""aniaya"" + 0.018*""saudara"" + 0.017*""panas"" + 0.016*""ancam"" + 0.016*""ayah"" + 0.016*""tega"" + 0.014*""aneka"" + 0.013*""teriak"""
4,"0.037*""jasad"" + 0.026*""faktor"" + 0.026*""lari"" + 0.013*""hukum"" + 0.012*""cerita"" + 0.010*""jatuh"" + 0.009*""rokok"" + 0.009*""hakim"" + 0.007*""jatuh_hukum"" + 0.007*""sma"""
5,"0.016*""jogja"" + 0.012*""korban"" + 0.011*""rumah_sakit"" + 0.009*""kota_yogyakarta"" + 0.008*""makan"" + 0.008*""keluarga"" + 0.008*""kota"" + 0.008*""pantai"" + 0.008*""bantul"" + 0.008*""kunjung"""
6,"0.018*""alir"" + 0.017*""kabupaten_bantul"" + 0.017*""protokol_sehat"" + 0.016*""pasien_covid"" + 0.015*""penjara"" + 0.014*""video"" + 0.013*""sembuh"" + 0.012*""bantul"" + 0.011*""pasien"" + 0.011*""angka"""
7,"0.040*""orang_tua"" + 0.031*""sungai"" + 0.025*""anak"" + 0.023*""nama"" + 0.018*""anak_anak"" + 0.014*""acara"" + 0.013*""tua"" + 0.012*""dirjen"" + 0.012*""duduk"" + 0.010*""tani"""
8,"0.028*""vaksinasi"" + 0.026*""produk"" + 0.024*""pemkab_sleman"" + 0.017*""destinasi_wisata"" + 0.017*""unjung"" + 0.016*""cepat_vaksinasi"" + 0.015*""pandemi_covid"" + 0.015*""persen"" + 0.013*""perintah_kabupaten"" + 0.013*""tani"""
9,"0.027*""kuliner"" + 0.020*""uji_coba"" + 0.019*""coba"" + 0.018*""warung"" + 0.009*""ptm_batas"" + 0.009*""sidang"" + 0.008*""kalah"" + 0.008*""minum"" + 0.008*""ringan"" + 0.007*""ptm"""
10,"0.013*""bakar"" + 0.013*""api"" + 0.012*""nikah"" + 0.011*""aksi"" + 0.011*""anak"" + 0.011*""kalurahan"" + 0.009*""gandung"" + 0.009*""seksual"" + 0.008*""laki_laki"" + 0.008*""madam"""
