,Topic:
0,"0.012*""partai_demokrat"" + 0.006*""partai"" + 0.005*""demokrat"" + 0.005*""klb"" + 0.003*""dpc"" + 0.002*""ahy"" + 0.002*""kongres"" + 0.002*""serdang"" + 0.002*""kongres_klb"" + 0.002*""art"""
1,"0.056*""laku_usaha"" + 0.043*""wisatawan"" + 0.033*""pariwisata"" + 0.032*""negatif"" + 0.031*""antigen"" + 0.027*""vaksin_covid"" + 0.024*""dinas_sehat"" + 0.024*""kepala_dinas"" + 0.024*""protokol_sehat"" + 0.023*""rapid"""
2,"0.051*""jawa_timur"" + 0.045*""wartawan"" + 0.037*""pandemi_covid"" + 0.026*""urus"" + 0.019*""sendiri"" + 0.019*""ketua"" + 0.018*""kasih"" + 0.017*""cabang"" + 0.017*""edukasi"" + 0.017*""kabupaten_kota"""
3,"0.006*""korban"" + 0.005*""kota_yogyakarta"" + 0.004*""awan_panas"" + 0.004*""kulonprogo"" + 0.003*""vaksinasi"" + 0.003*""bantul"" + 0.003*""gunungkidul"" + 0.003*""temu"" + 0.003*""rumah_sakit"" + 0.003*""vaksinasi_covid"""
4,"0.064*""india"" + 0.046*""as"" + 0.032*""drone"" + 0.029*""amerika_serikat"" + 0.027*""tahan"" + 0.022*""dolar"" + 0.021*""china"" + 0.019*""miliar"" + 0.018*""tuju"" + 0.014*""hubung"""
