,Topic:
0,"0.023*""warga_dampak"" + 0.022*""paket"" + 0.016*""spesimen"" + 0.013*""sembako"" + 0.008*""salur_bantu"" + 0.008*""halaman"" + 0.006*""hak"" + 0.005*""peduli"" + 0.005*""ham"" + 0.005*""dampak"""
1,"0.014*""suami"" + 0.014*""sembelih_hewan"" + 0.013*""warna"" + 0.011*""sembelih"" + 0.011*""sun"" + 0.009*""ekor"" + 0.009*""the"" + 0.005*""henti"" + 0.004*""awal"" + 0.003*""doa"""
2,"0.019*""tinggal_dunia"" + 0.018*""kota_yogyakarta"" + 0.011*""warga_dampak"" + 0.011*""salah_satu"" + 0.010*""isolasi_mandiri"" + 0.010*""kota"" + 0.010*""angka_mati"" + 0.009*""mati"" + 0.009*""kamis"" + 0.009*""positif_covid"""
3,"0.023*""korban"" + 0.017*""wib"" + 0.017*""desa"" + 0.016*""kabupaten_bantul"" + 0.014*""lapor"" + 0.012*""teman"" + 0.012*""pariwisata"" + 0.011*""kiri"" + 0.010*""pasien_sembuh"" + 0.010*""cari"""
4,"0.023*""pemkab_sleman"" + 0.022*""harga"" + 0.019*""shelter"" + 0.019*""hak"" + 0.019*""bupati_sleman"" + 0.016*""beras"" + 0.015*""kabupaten_sleman"" + 0.015*""bank"" + 0.013*""bst"" + 0.010*""miliar"""
5,"0.035*""juru_bicara"" + 0.020*""rt"" + 0.016*""menang"" + 0.016*""lawan"" + 0.016*""kumpul"" + 0.016*""pt"" + 0.015*""tukang"" + 0.015*""klaim"" + 0.014*""tiga"" + 0.012*""serang"""
6,"0.016*""isolasi_mandiri"" + 0.012*""dlingo"" + 0.012*""banguntapan"" + 0.012*""orang_total"" + 0.012*""pandak"" + 0.011*""aktif"" + 0.011*""rekan"" + 0.011*""jetis"" + 0.011*""piyungan"" + 0.011*""kretek"""
7,"0.016*""kabupaten_sleman"" + 0.006*""kabag"" + 0.006*""kabag_humas"" + 0.006*""catat_tambah"" + 0.005*""puncak"" + 0.005*""tren"" + 0.004*""lewat"" + 0.004*""joko_hastaryo"" + 0.004*""hastaryo"" + 0.004*""kasus"""
8,"0.022*""gunung_rapi"" + 0.022*""gunung"" + 0.022*""israel"" + 0.018*""barat_daya"" + 0.017*""wisata"" + 0.015*""objek_wisata"" + 0.014*""jarak_luncur"" + 0.014*""rapi"" + 0.014*""tutup"" + 0.013*""tembak"""
9,"0.021*""bantu_sosial"" + 0.019*""pandemi_covid"" + 0.016*""dampak"" + 0.015*""ppkm_level"" + 0.015*""anak_anak"" + 0.014*""ppkm_darurat"" + 0.012*""indonesia"" + 0.012*""daerah"" + 0.012*""salur_bantu"" + 0.011*""sri_sultan"""
10,"0.045*""temu_tewas"" + 0.043*""korban"" + 0.035*""gantung"" + 0.029*""magelang"" + 0.022*""temu"" + 0.018*""saksi"" + 0.018*""ibu"" + 0.017*""jasad"" + 0.017*""simbah"" + 0.017*""simbah_darah"""
11,"0.026*""rumah_sakit"" + 0.021*""vaksinasi"" + 0.017*""anak"" + 0.016*""kalas"" + 0.015*""papar_covid"" + 0.015*""tangan_covid"" + 0.015*""bantul"" + 0.013*""juta"" + 0.013*""jalan_isolasi"" + 0.012*""kalas_sleman"""
12,"0.021*""pintu"" + 0.012*""tanah"" + 0.012*""kompleks"" + 0.012*""dr"" + 0.011*""bangun"" + 0.011*""kilogram"" + 0.010*""sungguh"" + 0.010*""salat"" + 0.008*""signifikan"" + 0.005*""tani"""
13,"0.026*""mobil"" + 0.025*""kurban"" + 0.021*""hewan_kurban"" + 0.018*""sapi"" + 0.015*""hewan"" + 0.014*""potong_hewan"" + 0.011*""masjid"" + 0.009*""lahir"" + 0.009*""posisi"" + 0.006*""ibadah"""
14,"0.035*""daerah_istimewa"" + 0.027*""bina"" + 0.019*""gejala_ringan"" + 0.016*""purworejo"" + 0.016*""infeksi"" + 0.016*""rawat"" + 0.015*""kelas"" + 0.013*""istimewa"" + 0.011*""kunjung"" + 0.011*""perempuan"""
