,Topic:
0,"0.025*""ppkm_darurat"" + 0.011*""jawa_bal"" + 0.009*""ppkm"" + 0.008*""darurat"" + 0.008*""tutup_objek"" + 0.007*""ppkm_mikro"" + 0.007*""giat_masyarakat"" + 0.006*""laku_batas"" + 0.006*""awan_panas"" + 0.006*""wisata"""
1,"0.007*""rumah_sakit"" + 0.007*""positif_covid"" + 0.006*""polda_diy"" + 0.006*""kabupaten_sleman"" + 0.005*""tinggal_dunia"" + 0.005*""korban"" + 0.005*""pasien"" + 0.004*""pasien_covid"" + 0.004*""pandemi_covid"" + 0.004*""protokol_sehat"""
2,"0.010*""tambah_konfirmasi"" + 0.009*""tracing_kontak"" + 0.007*""pemda_diy"" + 0.007*""periksa_mandiri"" + 0.007*""screening_karyawan"" + 0.006*""ditya_nanaryo"" + 0.006*""kota_yogyakarta"" + 0.004*""kabag_humas"" + 0.004*""telusur"" + 0.004*""ditya"""
