,Topic:
0,"0.024*""tangan_covid"" + 0.016*""media_sosial"" + 0.016*""barang_bukti"" + 0.013*""handphone"" + 0.012*""ajak"" + 0.011*""kartu"" + 0.011*""ajar"" + 0.011*""barang"" + 0.010*""cari"" + 0.010*""tari"""
1,"0.034*""merah_putih"" + 0.033*""menteri_negeri"" + 0.018*""bendera"" + 0.016*""rebut"" + 0.013*""lingkung"" + 0.012*""provinsi"" + 0.010*""putih"" + 0.009*""milisi"" + 0.009*""merah"" + 0.008*""hujan"""
2,"0.013*""tambah"" + 0.012*""tugas"" + 0.011*""temu"" + 0.010*""positif"" + 0.010*""gugus_tugas"" + 0.010*""positif_covid"" + 0.010*""negara"" + 0.009*""kabag_humas"" + 0.009*""tracing_kontak"" + 0.009*""pasien_covid"""
3,"0.033*""amerika_serikat"" + 0.026*""talib"" + 0.025*""afghanistan"" + 0.024*""as"" + 0.019*""kabul"" + 0.012*""militer"" + 0.012*""amerika"" + 0.012*""washington"" + 0.011*""serikat"" + 0.011*""rusia"""
4,"0.064*""objek_wisata"" + 0.034*""wisata"" + 0.022*""objek"" + 0.021*""ppkm_level"" + 0.016*""dinas_pariwisata"" + 0.013*""destinasi_wisata"" + 0.012*""ppkm"" + 0.011*""suara"" + 0.010*""tutup"" + 0.010*""wisatawan"""
5,"0.033*""awan_panas"" + 0.027*""gunung_rapi"" + 0.024*""amplitudo_mm"" + 0.023*""jarak_luncur"" + 0.019*""arah_barat"" + 0.017*""durasi_detik"" + 0.016*""fase"" + 0.015*""barat_daya"" + 0.015*""kali_gempa"" + 0.014*""gugur_lava"""
6,"0.015*""rumah_sakit"" + 0.011*""bantul"" + 0.009*""diy"" + 0.009*""pandemi_covid"" + 0.009*""kota_yogyakarta"" + 0.008*""lurah"" + 0.008*""tim"" + 0.008*""kabupaten_bantul"" + 0.008*""vaksinasi"" + 0.007*""bantu"""
7,"0.019*""tipu"" + 0.018*""humas_polres"" + 0.018*""korban"" + 0.018*""kulonprogo_iptu"" + 0.018*""i_nengah"" + 0.013*""kulonprogo"" + 0.012*""jeffry"" + 0.012*""polres"" + 0.010*""i"" + 0.009*""humas_polres_kulonprogo_iptu"""
8,"0.025*""sepeda_motor"" + 0.017*""makam"" + 0.016*""isoman"" + 0.013*""juli"" + 0.012*""tidur"" + 0.011*""motor"" + 0.011*""pasien"" + 0.010*""bpbd"" + 0.009*""turun"" + 0.009*""polsek"""
9,"0.026*""pura"" + 0.020*""solo"" + 0.017*""mobil"" + 0.013*""medan"" + 0.012*""uang"" + 0.010*""tanggal"" + 0.010*""jenazah"" + 0.009*""tanggal_agustus"" + 0.008*""polres"" + 0.008*""reskrim_polres"""
