,Topic:
0,"0.022*""barang_bukti"" + 0.019*""kombes_pol"" + 0.014*""kabid_humas"" + 0.011*""artis"" + 0.009*""kombes"" + 0.008*""tangkap"" + 0.008*""narkotika"" + 0.007*""polda"" + 0.007*""narkoba"" + 0.007*""pol"""
1,"0.015*""umy"" + 0.009*""afrika_selatan"" + 0.008*""prestasi"" + 0.007*""bangsa"" + 0.007*""asn_polri"" + 0.006*""pt_angkasa"" + 0.006*""korupsi"" + 0.006*""kpk"" + 0.005*""afrika"" + 0.004*""angkasa"""
2,"0.010*""kain"" + 0.008*""batik"" + 0.007*""alun_alun"" + 0.007*""alun"" + 0.007*""minum"" + 0.005*""toko"" + 0.001*""lahan"" + 0.001*""api"" + 0.001*""hektare"" + 0.001*""sita"""
3,"0.011*""kabupaten_sleman"" + 0.010*""prajurit"" + 0.009*""agama"" + 0.009*""pasu_khusus"" + 0.009*""polda_diy"" + 0.008*""kopassus"" + 0.007*""izin"" + 0.007*""operasi"" + 0.007*""al"" + 0.007*""kota_bandung"""
4,"0.005*""anak"" + 0.005*""bantul"" + 0.004*""gunungkidul"" + 0.004*""sleman"" + 0.004*""anak_anak"" + 0.003*""rumah"" + 0.003*""sepeda_motor"" + 0.003*""temu"" + 0.003*""orang_tua"" + 0.003*""diy"""
5,"0.020*""budaya"" + 0.017*""seni_budaya"" + 0.013*""seni"" + 0.013*""angkat_udara"" + 0.011*""tni_au"" + 0.009*""karyawan"" + 0.009*""pesawat"" + 0.007*""angkat"" + 0.006*""lestari"" + 0.006*""condongcatur"""
6,"0.021*""awan_panas"" + 0.016*""gunung_rapi"" + 0.012*""amplitudo_mm"" + 0.011*""jarak_luncur"" + 0.010*""banjir_lahar"" + 0.009*""arah_barat"" + 0.009*""rapi"" + 0.009*""gugur"" + 0.008*""panas"" + 0.007*""awan"""
7,"0.021*""vaksinasi"" + 0.016*""laksana_vaksinasi"" + 0.016*""vaksinasi_anak"" + 0.016*""tular_covid"" + 0.013*""kota_yogyakarta"" + 0.011*""vaksinasi_covid"" + 0.011*""protokol_sehat"" + 0.010*""tangan_covid"" + 0.010*""vaksin"" + 0.010*""kick_off"""
