,Topic,Word,P
0,0,hotel,0.034934092
1,0,papua,0.021268468
2,0,umum,0.019193545
3,0,gedung,0.01866579
4,0,mayat,0.016523995
5,0,kamar,0.016497042
6,0,panggil,0.013663547
7,0,mampu,0.0134043675
8,0,ecek,0.012614166
9,0,perempuan,0.011410389
10,1,lurah,0.03847017
11,1,fakultas,0.031729046
12,1,lantik,0.024080927
13,1,kopassus,0.021384774
14,1,bupati_bantul,0.010015514
15,1,lahan,0.008849704
16,1,abdul_halim,0.008465889
17,1,kapten,0.00826577
18,1,susun,0.006672431
19,1,halim,0.0061076162
20,2,rusia,0.02492228
21,2,kopassus,0.012878776
22,2,pukul,0.011306871
23,2,cerita,0.009558953
24,2,moskow,0.008575814
25,2,kartu,0.007182878
26,2,sebar_covid,0.006770141
27,2,belah,0.0044706375
28,2,pulang,0.0039619613
29,2,gerak,0.0033786139
30,3,mahasiswa,0.022309182
31,3,kerja,0.019411204
32,3,isi,0.016810529
33,3,indonesia,0.014262638
34,3,akun,0.013311053
35,3,kali,0.012409717
36,3,fasilitas,0.012358918
37,3,bakar,0.011779013
38,3,proyek,0.011067567
39,3,negeri,0.010126771
40,4,protokol_sehat,0.008629161
41,4,gunungkidul,0.008050196
42,4,kulonprogo,0.007364797
43,4,sleman,0.007332491
44,4,pandemi_covid,0.007135663
45,4,salah_satu,0.007043847
46,4,media_sosial,0.006695026
47,4,anak_anak,0.0061805435
48,4,amerika_serikat,0.005892494
49,4,rabu,0.0058603333
50,5,kota_yogyakarta,0.022746991
51,5,objek_wisata,0.014540328
52,5,jabat,0.01432189
53,5,persen,0.013624419
54,5,daerah,0.013222753
55,5,capai_persen,0.013022624
56,5,libur_natal,0.012619927
57,5,laku,0.012470331
58,5,naik,0.012341965
59,5,kota,0.01173615
60,6,cctv,0.011892768
61,6,kamera,0.010655093
62,6,kader,0.009444186
63,6,asosiasi,0.0061728526
64,6,sebar_covid,0.005578702
65,6,lacak,0.0049983156
66,6,usul,0.0038165976
67,6,naik,0.0033503121
68,6,tetangga,0.0026217883
69,6,video,0.0024784654
70,7,bantul,0.021354862
71,7,positif_covid,0.016539536
72,7,buku,0.014873258
73,7,ayam,0.014663112
74,7,pasien,0.012112303
75,7,korban,0.011360023
76,7,tinggal,0.010997121
77,7,virus,0.010633795
78,7,kabupaten_bantul,0.010425881
79,7,rumah_sakit,0.010169353
80,8,inggris,0.021226263
81,8,makan,0.019966329
82,8,bekas,0.016489722
83,8,sakit,0.013504167
84,8,prinsip,0.011767039
85,8,pria,0.011335663
86,8,pola,0.009854439
87,8,beda,0.009355938
88,8,online,0.009348715
89,8,dokter,0.008538362
90,9,ppkm_level,0.03720164
91,9,muhammadiyah,0.020664494
92,9,tni,0.019815387
93,9,angkat_darat,0.01694013
94,9,dudung,0.015634624
95,9,presiden,0.015355169
96,9,level,0.013808843
97,9,maju,0.013167559
98,9,ppkm,0.012433016
99,9,atur,0.011966237
100,10,densus,0.027177645
101,10,farid,0.024428587
102,10,okbah,0.019362804
103,10,urus,0.015270299
104,10,ustaz,0.015212132
105,10,ustaz_farid,0.014288852
106,10,antiteror,0.013476067
107,10,densus_antiteror,0.013476064
108,10,tangkap,0.013304535
109,10,pantai,0.013158063
110,11,gugus_tugas,0.017269071
111,11,ptm,0.014673822
112,11,komputer,0.012737876
113,11,ajar_tatap,0.0122272335
114,11,university,0.01203599
115,11,virtual,0.01102602
116,11,evaluasi,0.010755511
117,11,siswa,0.010518468
118,11,gugus,0.009954905
119,11,aplikasi,0.009378118
120,12,korban,0.020359825
121,12,longsor,0.019167759
122,12,laku,0.017783249
123,12,lokasi_jadi,0.0136832325
124,12,jeffry,0.013507229
125,12,curi,0.013423522
126,12,polsek,0.013209193
127,12,aniaya,0.012776731
128,12,polisi,0.010621446
129,12,lapor_polisi,0.010167072
