,Topic:
0,"0.035*""hotel"" + 0.021*""papua"" + 0.019*""umum"" + 0.019*""gedung"" + 0.017*""mayat"" + 0.016*""kamar"" + 0.014*""panggil"" + 0.013*""mampu"" + 0.013*""ecek"" + 0.011*""perempuan"""
1,"0.038*""lurah"" + 0.032*""fakultas"" + 0.024*""lantik"" + 0.021*""kopassus"" + 0.010*""bupati_bantul"" + 0.009*""lahan"" + 0.008*""abdul_halim"" + 0.008*""kapten"" + 0.007*""susun"" + 0.006*""halim"""
2,"0.025*""rusia"" + 0.013*""kopassus"" + 0.011*""pukul"" + 0.010*""cerita"" + 0.009*""moskow"" + 0.007*""kartu"" + 0.007*""sebar_covid"" + 0.004*""belah"" + 0.004*""pulang"" + 0.003*""gerak"""
3,"0.022*""mahasiswa"" + 0.019*""kerja"" + 0.017*""isi"" + 0.014*""indonesia"" + 0.013*""akun"" + 0.012*""kali"" + 0.012*""fasilitas"" + 0.012*""bakar"" + 0.011*""proyek"" + 0.010*""negeri"""
4,"0.009*""protokol_sehat"" + 0.008*""gunungkidul"" + 0.007*""kulonprogo"" + 0.007*""sleman"" + 0.007*""pandemi_covid"" + 0.007*""salah_satu"" + 0.007*""media_sosial"" + 0.006*""anak_anak"" + 0.006*""amerika_serikat"" + 0.006*""rabu"""
5,"0.023*""kota_yogyakarta"" + 0.015*""objek_wisata"" + 0.014*""jabat"" + 0.014*""persen"" + 0.013*""daerah"" + 0.013*""capai_persen"" + 0.013*""libur_natal"" + 0.012*""laku"" + 0.012*""naik"" + 0.012*""kota"""
6,"0.012*""cctv"" + 0.011*""kamera"" + 0.009*""kader"" + 0.006*""asosiasi"" + 0.006*""sebar_covid"" + 0.005*""lacak"" + 0.004*""usul"" + 0.003*""naik"" + 0.003*""tetangga"" + 0.002*""video"""
7,"0.021*""bantul"" + 0.017*""positif_covid"" + 0.015*""buku"" + 0.015*""ayam"" + 0.012*""pasien"" + 0.011*""korban"" + 0.011*""tinggal"" + 0.011*""virus"" + 0.010*""kabupaten_bantul"" + 0.010*""rumah_sakit"""
8,"0.021*""inggris"" + 0.020*""makan"" + 0.016*""bekas"" + 0.014*""sakit"" + 0.012*""prinsip"" + 0.011*""pria"" + 0.010*""pola"" + 0.009*""beda"" + 0.009*""online"" + 0.009*""dokter"""
9,"0.037*""ppkm_level"" + 0.021*""muhammadiyah"" + 0.020*""tni"" + 0.017*""angkat_darat"" + 0.016*""dudung"" + 0.015*""presiden"" + 0.014*""level"" + 0.013*""maju"" + 0.012*""ppkm"" + 0.012*""atur"""
10,"0.027*""densus"" + 0.024*""farid"" + 0.019*""okbah"" + 0.015*""urus"" + 0.015*""ustaz"" + 0.014*""ustaz_farid"" + 0.013*""antiteror"" + 0.013*""densus_antiteror"" + 0.013*""tangkap"" + 0.013*""pantai"""
11,"0.017*""gugus_tugas"" + 0.015*""ptm"" + 0.013*""komputer"" + 0.012*""ajar_tatap"" + 0.012*""university"" + 0.011*""virtual"" + 0.011*""evaluasi"" + 0.011*""siswa"" + 0.010*""gugus"" + 0.009*""aplikasi"""
12,"0.020*""korban"" + 0.019*""longsor"" + 0.018*""laku"" + 0.014*""lokasi_jadi"" + 0.014*""jeffry"" + 0.013*""curi"" + 0.013*""polsek"" + 0.013*""aniaya"" + 0.011*""polisi"" + 0.010*""lapor_polisi"""
